Client,Recency,Frequency,Monetary,RFM_Score,Cluster_KMeans
3012,357,2,996.0,121,0
2988,197,3,998.0,241,2
2970,460,2,998.35,111,0
2755,308,2,999.0,221,0
2670,354,2,999.0,121,0
2657,457,2,999.0,111,0
2777,453,2,999.0,111,0
2598,462,2,1006.0,121,0
2597,650,2,1007.0,121,0
2585,357,2,1012.15,121,0
2576,101,2,1016.0,421,2
2560,527,2,1022.15,111,0
2558,299,2,1023.55,211,0
2554,359,2,1026.0,121,0
2535,379,4,1037.0,141,0
2534,452,2,1038.0,111,0
2519,338,2,1046.0,121,0
2503,607,2,1048.0,121,0
2471,285,2,1057.0,211,2
2462,74,2,1066.0,431,2
2460,72,2,1066.0,431,2
2386,132,2,1096.0,331,2
2369,592,5,1098.0,141,0
2345,581,2,1104.0,111,0
2339,165,2,1116.0,311,2
2338,160,2,1117.0,331,2
2334,308,3,1118.0,231,0
2318,656,2,1124.15,121,0
2317,376,2,1126.0,121,0
2309,98,2,1128.0,431,2
2282,397,2,1146.0,121,0
2254,337,2,1156.0,121,0
2255,206,2,1156.0,211,2
2253,286,2,1156.3,211,2
2228,363,2,1166.0,121,0
2218,604,2,1176.0,121,0
2219,534,2,1176.0,111,0
2215,178,2,1176.15,311,2
2213,227,2,1177.0,211,2
2205,315,2,1178.55,221,0
2196,636,2,1188.0,121,0
2189,169,2,1190.3,311,2
2188,172,2,1190.3,311,2
2187,461,2,1191.0,121,0
2186,528,2,1191.3,111,0
2185,364,2,1192.65,121,0
2181,349,2,1196.0,121,0
2147,551,2,1198.0,111,0
2129,57,3,1199.0,431,2
2119,657,2,1205.0,121,0
2117,152,2,1206.0,331,2
2103,166,2,1210.0,311,2
2087,225,2,1216.0,211,2
2086,292,2,1216.0,211,0
2088,304,2,1216.0,221,0
2085,349,2,1216.0,121,0
2080,20,3,1223.6,431,2
2079,362,2,1226.0,121,0
2069,544,2,1228.0,111,0
2068,538,2,1228.0,111,0
2055,83,2,1235.0,431,2
2056,115,2,1235.0,321,2
2053,503,2,1236.0,111,0
2049,128,2,1240.0,331,2
2048,588,2,1243.0,121,0
2047,260,2,1244.05,211,2
2044,184,2,1245.0,311,2
2042,288,2,1246.0,211,2
2026,646,2,1251.0,121,0
2023,298,2,1256.1,211,0
2022,410,2,1257.0,121,0
1998,306,2,1262.15,221,0
1999,347,2,1262.15,121,0
1995,467,2,1266.0,121,0
1994,127,9,1267.0,341,1
